currency,rate
ARS,27.053815
AUD,0.363810
BHD,0.102383
BWP,3.040367
BRL,1.538755
BND,0.366689
BGN,0.458285
CAD,0.336522
CLP,222.143277
CNY,1.739603
COP,1025.704191
HRK,1.763473
CZK,6.023822
DKK,1.743500
EUR,0.234317
HKD,2.116760
HUF,85.450566
ISK,35.195147
INR,20.446920
IDR,3855.363049
IRR,11443.245359
ILS,0.873203
JPY,30.953191
KZT,115.833703
KRW,318.554717
KWD,0.082128
LYD,1.236992
MYR,1.130349
MUR,11.690997
MXN,5.497517
NPR,32.868424
NZD,0.381523
NOK,2.275675
OMR,0.104697
PKR,47.530878
PHP,13.794571
PLN,1.079610
QAR,0.991150
RON,1.159189
RUB,19.053259
SAR,1.021103
SGD,0.366689
ZAR,4.018625
LKR,55.004040
SEK,2.341974
CHF,0.250399
TWD,7.593898
THB,9.022423
TTD,1.849090
TRY,2.654893
GBP,0.197892
USD,0.272294
VEF,114907.397513
