currency,rate
ARS,108.063118
AUD,1.454374
BHD,0.408948
BWP,12.143841
BRL,6.145770
BND,1.465643
BGN,1.829908
CAD,1.345404
CLP,887.227720
CNY,6.948143
COP,4099.967461
HRK,7.041164
CZK,24.054301
DKK,6.961736
EUR,0.935617
HKD,8.455275
HUF,341.287880
ISK,140.545317
INR,81.680292
IDR,15398.650553
IRR,45707.927108
ILS,3.490631
JPY,123.583826
KZT,462.524681
KRW,1272.382383
KWD,0.327991
LYD,4.941150
MYR,4.514241
MUR,46.631170
MXN,21.981739
NPR,131.301070
NZD,1.525304
NOK,9.088587
OMR,0.418193
PKR,189.844739
PHP,55.149558
PLN,4.310314
QAR,3.958967
RON,4.628635
RUB,76.254127
SAR,4.078606
SGD,1.465643
ZAR,16.068405
LKR,219.698606
SEK,9.354538
TWD,30.340420
THB,36.060680
TTD,7.386019
TRY,10.608004
AED,3.994315
GBP,0.791016
USD,1.087628
VEF,458933.361560
