currency,rate
ARS,0.121783
AUD,0.001638
BHD,0.000461
BWP,0.013702
BRL,0.006927
BND,0.001651
BGN,0.002063
CAD,0.001515
CNY,0.007831
COP,4.618129
HRK,0.007939
CZK,0.027120
DKK,0.007848
EUR,0.001055
HKD,0.009529
HUF,0.384709
ISK,0.158431
INR,0.092048
IDR,17.355336
IRR,51.513623
ILS,0.003931
JPY,0.139344
KZT,0.521444
KRW,1.434227
KWD,0.000370
LYD,0.005569
MYR,0.005088
MUR,0.052622
MXN,0.024745
NPR,0.147967
NZD,0.001717
NOK,0.010244
OMR,0.000471
PKR,0.213966
PHP,0.062093
PLN,0.004860
QAR,0.004462
RON,0.005218
RUB,0.085744
SAR,0.004597
SGD,0.001651
ZAR,0.018083
LKR,0.247609
SEK,0.010543
CHF,0.001127
TWD,0.034191
THB,0.040616
TTD,0.008324
TRY,0.011951
AED,0.004502
GBP,0.000891
USD,0.001226
VEF,517.263896
