currency,rate
ARS,15.339389
AUD,0.206270
BHD,0.058052
BWP,1.725872
BRL,0.872470
BND,0.207907
BGN,0.259858
CAD,0.190790
CLP,125.956573
CNY,0.986328
COP,581.683658
CZK,3.415896
DKK,0.988562
EUR,0.132863
HKD,1.200265
HUF,48.456633
ISK,19.955483
INR,11.594063
IDR,2186.018622
IRR,6488.479409
ILS,0.495109
JPY,17.551323
KZT,65.679315
KRW,180.650298
KWD,0.046570
LYD,0.701396
MYR,0.640891
MUR,6.628092
MXN,3.116751
NPR,18.637456
NZD,0.216298
NOK,1.290302
OMR,0.059365
PKR,26.950440
PHP,7.821019
PLN,0.612144
QAR,0.561996
RON,0.657292
RUB,10.800022
SAR,0.578979
SGD,0.207907
ZAR,2.277674
LKR,31.187984
SEK,1.327958
CHF,0.141980
TWD,4.306584
THB,5.115807
TTD,1.048461
TRY,1.505293
AED,0.567014
GBP,0.112193
USD,0.154395
VEF,65152.787609
