currency,rate
ARS,0.084912
AUD,0.001142
BHD,0.000321
BWP,0.009554
BRL,0.004830
BND,0.001151
BGN,0.001438
CAD,0.001056
CLP,0.697240
CNY,0.005460
COP,3.219943
HRK,0.005536
CZK,0.018909
DKK,0.005472
EUR,0.000735
HKD,0.006644
HUF,0.268234
ISK,0.110465
INR,0.064180
IDR,12.100830
IRR,35.917347
ILS,0.002741
JPY,0.097156
KZT,0.363572
KWD,0.000258
LYD,0.003883
MYR,0.003548
MUR,0.036690
MXN,0.017253
NPR,0.103169
NZD,0.001197
NOK,0.007143
OMR,0.000329
PKR,0.149186
PHP,0.043294
PLN,0.003389
QAR,0.003111
RON,0.003638
RUB,0.059784
SAR,0.003205
SGD,0.001151
ZAR,0.012608
LKR,0.172643
SEK,0.007351
CHF,0.000786
TWD,0.023839
THB,0.028319
TTD,0.005804
TRY,0.008333
AED,0.003139
GBP,0.000621
USD,0.000855
VEF,360.656962
