currency,rate
ARS,23.934482
AUD,0.321849
BHD,0.090581
BWP,2.692927
BRL,1.361340
BND,0.324403
BGN,0.405464
CAD,0.297696
CLP,196.533591
CNY,1.538996
COP,907.617406
HRK,1.560328
CZK,5.329918
DKK,1.542482
EUR,0.207310
HKD,1.872807
HUF,75.608251
ISK,31.137103
INR,18.090543
IDR,3410.906467
IRR,10124.157294
ILS,0.772532
JPY,27.385824
KZT,102.481287
KRW,281.873752
KWD,0.072665
LYD,1.094408
MUR,10.341999
MXN,4.863154
NPR,29.080548
NZD,0.337495
NOK,2.013294
OMR,0.092628
PKR,42.051532
PHP,12.203356
PLN,0.955146
QAR,0.876898
RON,1.025591
RUB,16.851579
SAR,0.903398
SGD,0.324403
ZAR,3.553919
LKR,48.663491
SEK,2.072050
CHF,0.221535
TWD,6.719685
THB,7.982337
TTD,1.635944
TRY,2.348751
AED,0.884728
GBP,0.175058
USD,0.240906
VEF,101659.730780
