currency,rate
ARS,258.381965
AUD,3.477511
BHD,0.977893
BWP,29.068664
BRL,14.695066
BND,3.504736
BGN,4.375563
CAD,3.216916
CLP,2121.540880
CNY,16.614119
COP,9803.774248
HRK,16.837846
CZK,57.518643
DKK,16.646336
EUR,2.237190
HKD,20.218813
HUF,816.131804
ISK,336.050916
INR,195.321169
IDR,36822.537620
IRR,109298.617852
ILS,8.345778
JPY,295.529696
KZT,1106.004070
KRW,3042.577327
KWD,0.784312
LYD,11.815698
MYR,10.794387
MUR,111.433984
MXN,52.561846
NPR,313.978780
NZD,3.646896
NOK,21.731744
PKR,453.967456
PHP,131.865437
PLN,10.307065
QAR,9.466840
RON,11.067585
RUB,182.299681
SAR,9.752926
SGD,3.504736
ZAR,38.423223
LKR,525.349783
SEK,22.368359
CHF,2.391247
TWD,72.544565
THB,86.228167
TTD,17.661981
TRY,25.375958
AED,9.551365
GBP,1.891579
USD,2.600780
VEF,1097438.261546
