currency,rate
ARS,25.058456
AUD,0.336963
BHD,0.094834
BWP,2.819388
BRL,1.425269
BND,0.339638
BGN,0.424505
CAD,0.311676
CLP,205.762903
CNY,1.611268
COP,950.239555
HRK,1.633602
CZK,5.580214
DKK,1.614917
EUR,0.217046
HKD,1.960755
HUF,79.158850
ISK,32.599316
INR,18.940084
IDR,3571.084273
IRR,10599.592582
ILS,0.808810
JPY,28.671876
KZT,107.293857
KRW,295.110678
KWD,0.076077
LYD,1.145802
MYR,1.046960
MUR,10.827664
MXN,5.091530
NPR,30.446185
NZD,0.353344
NOK,2.107839
OMR,0.096978
PKR,44.026292
PHP,12.776432
QAR,0.918078
RON,1.073753
RUB,17.642937
SAR,0.945822
SGD,0.339638
ZAR,3.720813
LKR,50.948752
SEK,2.169355
CHF,0.231938
TWD,7.035244
THB,8.357192
TTD,1.712768
TRY,2.459049
AED,0.926275
GBP,0.183279
USD,0.252219
VEF,106433.720553
