date,rate
2021-10-01,1.461783
2021-10-02,1.46117
2021-10-03,1.460674
2021-10-04,1.47968
2021-10-05,1.487898
2021-10-06,1.502266
2021-10-07,1.49918
2021-10-08,1.501961
2021-10-09,1.500497
2021-10-10,1.500246
2021-10-11,1.501798
2021-10-12,1.506778
2021-10-13,1.511961
2021-10-14,1.49899
2021-10-15,1.483306
2021-10-16,1.487132
2021-10-17,1.487185
2021-10-18,1.504178
2021-10-19,1.512133
2021-10-20,1.511407
2021-10-21,1.537312
2021-10-22,1.55839
2021-10-23,1.538892
2021-10-24,1.538709
2021-10-25,1.524624
2021-10-26,1.520608
2021-10-27,1.520707
2021-10-28,1.528423
2021-10-29,1.532129
2021-10-30,1.535144
2021-10-31,1.53495
2021-11-01,1.535257
