date,rate
2021-10-01,2.119824
2021-10-02,2.11982
2021-10-03,2.119814
2021-10-04,2.120376
2021-10-05,2.119738
2021-10-06,2.120081
2021-10-07,2.119601
2021-10-08,2.11948
2021-10-09,2.119727
2021-10-10,2.119661
2021-10-11,2.117922
2021-10-12,2.118828
2021-10-13,2.118332
2021-10-14,2.117895
2021-10-15,2.118004
2021-10-16,2.117883
2021-10-17,2.117688
2021-10-18,2.118266
2021-10-19,2.117335
2021-10-20,2.116954
2021-10-21,2.116969
2021-10-22,2.116471
2021-10-23,2.116836
2021-10-24,2.117061
2021-10-25,2.1168
2021-10-26,2.117268
2021-10-27,2.117687
2021-10-28,2.117803
2021-10-29,2.118174
2021-10-30,2.118227
2021-10-31,2.118226
2021-11-01,2.118701
