date,rate
2021-10-01,35.289993
2021-10-02,35.30208
2021-10-03,35.30208
2021-10-04,34.911274
2021-10-05,34.904021
2021-10-06,35.050538
2021-10-07,35.091031
2021-10-08,35.15257
2021-10-09,35.179206
2021-10-10,35.180005
2021-10-11,35.295567
2021-10-12,35.324355
2021-10-13,35.168166
2021-10-14,35.145718
2021-10-15,35.111671
2021-10-16,35.100676
2021-10-17,35.100676
2021-10-18,35.191929
2021-10-19,35.075844
2021-10-20,35.076905
2021-10-21,35.082723
2021-10-22,35.150737
2021-10-23,35.159859
2021-10-24,35.163139
2021-10-25,35.171664
2021-10-26,35.224558
2021-10-27,35.214833
2021-10-28,34.907483
2021-10-29,35.359548
2021-10-30,35.040812
2021-10-31,35.040812
2021-11-01,35.341385
