date,rate
2021-10-01,5.58051
2021-10-02,5.568657
2021-10-03,5.567125
2021-10-04,5.594702
2021-10-05,5.600471
2021-10-06,5.624622
2021-10-07,5.606307
2021-10-08,5.648447
2021-10-09,5.639634
2021-10-10,5.638184
2021-10-11,5.658959
2021-10-12,5.657168
2021-10-13,5.623081
2021-10-14,5.608175
2021-10-15,5.570103
2021-10-16,5.538174
2021-10-17,5.539685
2021-10-18,5.53648
2021-10-19,5.519302
2021-10-20,5.492291
2021-10-21,5.520088
2021-10-22,5.502641
2021-10-23,5.495436
2021-10-24,5.495827
2021-10-25,5.503362
2021-10-26,5.503781
2021-10-27,5.50545
2021-10-28,5.536885
2021-10-29,5.594515
2021-10-30,5.597399
2021-10-31,5.597078
2021-11-01,5.625728
