date,rate
2021-10-01,0.392392
2021-10-02,0.392206
2021-10-03,0.392186
2021-10-04,0.391077
2021-10-05,0.390722
2021-10-06,0.394077
2021-10-07,0.39238
2021-10-08,0.392856
2021-10-09,0.392903
2021-10-10,0.392919
2021-10-11,0.39134
2021-10-12,0.392199
2021-10-13,0.391504
2021-10-14,0.387428
2021-10-15,0.385143
2021-10-16,0.385121
2021-10-17,0.385291
2021-10-18,0.384686
2021-10-19,0.380145
2021-10-20,0.378132
2021-10-21,0.379781
2021-10-22,0.381236
2021-10-23,0.38064
2021-10-24,0.380697
2021-10-25,0.379919
2021-10-26,0.380637
2021-10-27,0.379492
2021-10-28,0.37777
2021-10-29,0.380199
2021-10-30,0.379843
2021-10-31,0.379641
2021-11-01,0.37977
