date,rate
2021-10-01,1.728368
2021-10-02,1.730299
2021-10-03,1.728009
2021-10-04,1.728926
2021-10-05,1.725911
2021-10-06,1.726659
2021-10-07,1.726693
2021-10-08,1.726244
2021-10-09,1.727339
2021-10-10,1.725085
2021-10-11,1.730469
2021-10-12,1.720785
2021-10-13,1.726434
2021-10-14,1.727191
2021-10-15,1.725994
2021-10-16,1.726527
2021-10-17,1.726499
2021-10-18,1.737576
2021-10-19,1.738388
2021-10-20,1.745894
2021-10-21,1.746934
2021-10-22,1.755162
2021-10-23,1.754424
2021-10-24,1.754535
2021-10-25,1.754642
2021-10-26,1.758403
2021-10-27,1.740644
2021-10-28,1.726449
2021-10-29,1.716791
2021-10-30,1.722142
2021-10-31,1.722164
2021-11-01,1.719101
