date,rate
2021-10-01,0.340681
2021-10-02,0.340539
2021-10-03,0.340899
2021-10-04,0.341366
2021-10-05,0.341965
2021-10-06,0.342038
2021-10-07,0.341193
2021-10-08,0.342617
2021-10-09,0.342323
2021-10-10,0.342629
2021-10-11,0.339943
2021-10-12,0.336102
2021-10-13,0.33501
2021-10-14,0.334442
2021-10-15,0.336706
2021-10-16,0.337257
2021-10-17,0.337861
2021-10-18,0.336916
2021-10-19,0.335847
2021-10-20,0.336235
2021-10-21,0.33591
2021-10-22,0.335707
2021-10-23,0.335632
2021-10-24,0.335578
2021-10-25,0.332219
2021-10-26,0.33394
2021-10-27,0.334073
2021-10-28,0.332954
2021-10-29,0.334469
2021-10-30,0.333824
2021-10-31,0.333834
2021-11-01,0.335558
