date,rate
2021-10-01,0.150579
2021-10-02,0.15073
2021-10-03,0.150878
2021-10-04,0.151844
2021-10-05,0.151458
2021-10-06,0.152416
2021-10-07,0.150257
2021-10-08,0.151175
2021-10-09,0.151067
2021-10-10,0.151073
2021-10-11,0.15132
2021-10-12,0.150954
2021-10-13,0.149456
2021-10-14,0.149168
2021-10-15,0.147681
2021-10-16,0.147315
2021-10-17,0.147318
2021-10-18,0.147779
2021-10-19,0.146227
2021-10-20,0.145343
2021-10-21,0.146776
2021-10-22,0.148976
2021-10-23,0.149115
2021-10-24,0.149075
2021-10-25,0.14784
2021-10-26,0.149356
2021-10-27,0.150975
2021-10-28,0.151608
2021-10-29,0.15293
2021-10-30,0.152817
2021-10-31,0.152826
2021-11-01,0.153395
