date,rate
2021-10-01,0.920464
2021-10-02,0.918438
2021-10-03,0.918067
2021-10-04,0.915671
2021-10-05,0.916427
2021-10-06,0.915259
2021-10-07,0.918661
2021-10-08,0.911778
2021-10-09,0.91147
2021-10-10,0.910556
2021-10-11,0.917801
2021-10-12,0.916096
2021-10-13,0.91755
2021-10-14,0.917371
2021-10-15,0.91857
2021-10-16,0.918003
2021-10-17,0.917399
2021-10-18,0.91684
2021-10-19,0.924223
2021-10-20,0.925986
2021-10-21,0.924561
2021-10-22,0.924115
2021-10-23,0.922744
2021-10-24,0.922759
2021-10-25,0.927451
2021-10-26,0.928766
2021-10-27,0.927258
2021-10-28,0.93212
2021-10-29,0.931491
2021-10-30,0.931593
2021-10-31,0.932105
2021-11-01,0.928745
