date,rate
2021-10-01,5.659352
2021-10-02,5.651788
2021-10-03,5.648155
2021-10-04,5.671026
2021-10-05,5.678754
2021-10-06,5.64922
2021-10-07,5.699627
2021-10-08,5.687962
2021-10-09,5.689247
2021-10-10,5.683941
2021-10-11,5.730608
2021-10-12,5.729229
2021-10-13,5.73381
2021-10-14,5.771153
2021-10-15,5.767815
2021-10-16,5.76836
2021-10-17,5.767695
2021-10-18,5.768692
2021-10-19,5.817387
2021-10-20,5.840679
2021-10-21,5.823694
2021-10-22,5.802009
2021-10-23,5.802529
2021-10-24,5.802551
2021-10-25,5.826724
2021-10-26,5.828839
2021-10-27,5.844228
2021-10-28,5.86966
2021-10-29,5.845362
2021-10-30,5.84948
2021-10-31,5.853734
2021-11-01,5.83101
