date,rate
2021-10-01,4.700108
2021-10-02,4.695242
2021-10-03,4.692238
2021-10-04,4.696085
2021-10-05,4.718186
2021-10-06,4.7194
2021-10-07,4.75929
2021-10-08,4.746625
2021-10-09,4.743025
2021-10-10,4.738749
2021-10-11,4.783607
2021-10-12,4.796522
2021-10-13,4.789236
2021-10-14,4.806483
2021-10-15,4.801518
2021-10-16,4.797612
2021-10-17,4.797501
2021-10-18,4.795496
2021-10-19,4.827392
2021-10-20,4.842339
2021-10-21,4.840859
2021-10-22,4.828365
2021-10-23,4.821516
2021-10-24,4.821021
2021-10-25,4.857497
2021-10-26,4.863403
2021-10-27,4.869129
2021-10-28,4.853118
2021-10-29,4.876805
2021-10-30,4.876392
2021-10-31,4.879941
2021-11-01,4.863576
