date,rate
2021-10-01,30550.609445
2021-10-02,30509.567558
2021-10-03,30490.042608
2021-10-04,30605.373053
2021-10-05,30656.323544
2021-10-06,30491.507555
2021-10-07,30769.814618
2021-10-08,30721.991453
2021-10-09,30713.127815
2021-10-10,30685.484893
2021-10-11,30962.705017
2021-10-12,30941.947658
2021-10-13,30973.824638
2021-10-14,31182.111446
2021-10-15,31159.608845
2021-10-16,31167.31191
2021-10-17,31166.618294
2021-10-18,31163.888863
2021-10-19,31442.055212
2021-10-20,31571.773806
2021-10-21,31480.405097
2021-10-22,31370.227048
2021-10-23,31367.437322
2021-10-24,31364.269138
2021-10-25,31498.797223
2021-10-26,31504.206124
2021-10-27,31578.412317
2021-10-28,31714.26202
2021-10-29,31579.544714
2021-10-30,31600.47395
2021-10-31,31623.49527
2021-11-01,31493.643736
