date,rate
2021-10-01,43.983839
2021-10-02,43.96501
2021-10-03,43.951
2021-10-04,44.26469
2021-10-05,44.240739
2021-10-06,44.17834
2021-10-07,44.245718
2021-10-08,44.432307
2021-10-09,44.503229
2021-10-10,44.461262
2021-10-11,44.636825
2021-10-12,44.522417
2021-10-13,44.559635
2021-10-14,44.49172
2021-10-15,44.443257
2021-10-16,44.51982
2021-10-17,44.510351
2021-10-18,44.698542
2021-10-19,44.665063
2021-10-20,44.548313
2021-10-21,44.516422
2021-10-22,44.585599
2021-10-23,44.656431
2021-10-24,44.656689
2021-10-25,44.559077
2021-10-26,44.410693
2021-10-27,44.493512
2021-10-28,44.681899
2021-10-29,44.297916
2021-10-30,44.297783
2021-10-31,44.302378
2021-11-01,44.30176
