date,rate
2021-10-01,0.592927
2021-10-02,0.592919
2021-10-03,0.592684
2021-10-04,0.59419
2021-10-05,0.593586
2021-10-06,0.590225
2021-10-07,0.591151
2021-10-08,0.591664
2021-10-09,0.591782
2021-10-10,0.591526
2021-10-11,0.591684
2021-10-12,0.590023
2021-10-13,0.591591
2021-10-14,0.592679
2021-10-15,0.592795
2021-10-16,0.59307
2021-10-17,0.593169
2021-10-18,0.593493
2021-10-19,0.594738
2021-10-20,0.595319
2021-10-21,0.59525
2021-10-22,0.594862
2021-10-23,0.595274
2021-10-24,0.595385
2021-10-25,0.593743
2021-10-26,0.59256
2021-10-27,0.59307
2021-10-28,0.597465
2021-10-29,0.590656
2021-10-30,0.59114
2021-10-31,0.591268
2021-11-01,0.590753
