date,rate
2021-10-01,2.293399
2021-10-02,2.293429
2021-10-03,2.294341
2021-10-04,2.288525
2021-10-05,2.290854
2021-10-06,2.303898
2021-10-07,2.300289
2021-10-08,2.298295
2021-10-09,2.297836
2021-10-10,2.298831
2021-10-11,2.298219
2021-10-12,2.304688
2021-10-13,2.298578
2021-10-14,2.294359
2021-10-15,2.293913
2021-10-16,2.292846
2021-10-17,2.292465
2021-10-18,2.291211
2021-10-19,2.286416
2021-10-20,2.284186
2021-10-21,2.284449
2021-10-22,2.285941
2021-10-23,2.284356
2021-10-24,2.283931
2021-10-25,2.290249
2021-10-26,2.294819
2021-10-27,2.292849
2021-10-28,2.27598
2021-10-29,2.302216
2021-10-30,2.300332
2021-10-31,2.299833
2021-11-01,2.301838
