date,rate
2021-10-01,818.595322
2021-10-02,820.489296
2021-10-03,820.185497
2021-10-04,816.694911
2021-10-05,819.104225
2021-10-06,827.223748
2021-10-07,824.192787
2021-10-08,829.441119
2021-10-09,827.67037
2021-10-10,827.331164
2021-10-11,825.691476
2021-10-12,830.507343
2021-10-13,827.996499
2021-10-14,823.613971
2021-10-15,824.342682
2021-10-16,825.544802
2021-10-17,825.20383
2021-10-18,829.308749
2021-10-19,828.796028
2021-10-20,827.49382
2021-10-21,830.771492
2021-10-22,833.502208
2021-10-23,832.59583
2021-10-24,832.689961
2021-10-25,838.173791
2021-10-26,837.326182
2021-10-27,832.959392
2021-10-28,823.116867
2021-10-29,829.357945
2021-10-30,828.003792
2021-10-31,828.110063
2021-11-01,828.632488
