date,rate
2021-10-01,38017.831581
2021-10-02,37944.139467
2021-10-03,37951.418441
2021-10-04,37955.250907
2021-10-05,37844.688307
2021-10-06,37918.148528
2021-10-07,37803.087534
2021-10-08,37824.031443
2021-10-09,37829.655702
2021-10-10,37835.942173
2021-10-11,37786.783638
2021-10-12,37803.805546
2021-10-13,37801.251154
2021-10-14,37508.611145
2021-10-15,37422.872618
2021-10-16,37505.274162
2021-10-17,37461.185573
2021-10-18,37577.848717
2021-10-19,37512.776179
2021-10-20,37511.057515
2021-10-21,37585.607684
2021-10-22,37647.317199
2021-10-23,37708.973895
2021-10-24,37686.705332
2021-10-25,37653.119765
2021-10-26,37654.649278
2021-10-27,37729.607665
2021-10-28,37721.071136
2021-10-29,37716.236108
2021-10-30,37704.426579
2021-10-31,37747.398003
2021-11-01,37906.790221
