date,rate
2021-10-01,113.553189
2021-10-02,113.467473
2021-10-03,114.491717
2021-10-04,113.242691
2021-10-05,113.638055
2021-10-06,113.265028
2021-10-07,114.230988
2021-10-08,113.628214
2021-10-09,114.640955
2021-10-10,114.400487
2021-10-11,113.706488
2021-10-12,113.274913
2021-10-13,114.013435
2021-10-14,114.014509
2021-10-15,114.729343
2021-10-16,114.722689
2021-10-17,115.380879
2021-10-18,114.014809
2021-10-19,114.001885
2021-10-20,113.496957
2021-10-21,113.264279
2021-10-22,113.657559
2021-10-23,114.474641
2021-10-24,114.59522
2021-10-25,114.190718
2021-10-26,114.3104
2021-10-27,115.788643
2021-10-28,114.731299
2021-10-29,114.747949
2021-10-30,115.410341
2021-10-31,115.424967
2021-11-01,114.431339
