date,rate
2021-10-01,134.829254
2021-10-02,134.947777
2021-10-03,134.995092
2021-10-04,135.408111
2021-10-05,134.585101
2021-10-06,135.155233
2021-10-07,134.262867
2021-10-08,134.545888
2021-10-09,134.532267
2021-10-10,134.478737
2021-10-11,135.187325
2021-10-12,135.263907
2021-10-13,134.614168
2021-10-14,134.909152
2021-10-15,134.931446
2021-10-16,134.726509
2021-10-17,134.909523
2021-10-18,135.237993
2021-10-19,135.11253
2021-10-20,135.069507
2021-10-21,135.095962
2021-10-22,135.118088
2021-10-23,134.945458
2021-10-24,134.935584
2021-10-25,134.836647
2021-10-26,135.044083
2021-10-27,134.978525
2021-10-28,134.498688
2021-10-29,134.337179
2021-10-30,134.443295
2021-10-31,134.443314
2021-11-01,134.38379
