date,rate
2021-10-01,193.353335
2021-10-02,193.267256
2021-10-03,193.099896
2021-10-04,192.651984
2021-10-05,192.299035
2021-10-06,192.582512
2021-10-07,190.819727
2021-10-08,190.81687
2021-10-09,191.022077
2021-10-10,190.9923
2021-10-11,190.518578
2021-10-12,190.948106
2021-10-13,191.72916
2021-10-14,190.065915
2021-10-15,188.729437
2021-10-16,188.491074
2021-10-17,188.434836
2021-10-18,189.626201
2021-10-19,188.563424
2021-10-20,188.592373
2021-10-21,189.143519
2021-10-22,187.184209
2021-10-23,187.315502
2021-10-24,187.330351
2021-10-25,185.53997
2021-10-26,185.23845
2021-10-27,187.366011
2021-10-28,186.841877
2021-10-29,188.651494
2021-10-30,188.499831
2021-10-31,188.499408
2021-11-01,188.964798
