date,rate
2021-10-01,3.604212
2021-10-02,3.611172
2021-10-03,3.611749
2021-10-04,3.60957
2021-10-05,3.607745
2021-10-06,3.617728
2021-10-07,3.610975
2021-10-08,3.60292
2021-10-09,3.604796
2021-10-10,3.604978
2021-10-11,3.600084
2021-10-12,3.607367
2021-10-13,3.597125
2021-10-14,3.58667
2021-10-15,3.586594
2021-10-16,3.586027
2021-10-17,3.586098
2021-10-18,3.588153
2021-10-19,3.576878
2021-10-20,3.573001
2021-10-21,3.580477
2021-10-22,3.58831
2021-10-23,3.586054
2021-10-24,3.586142
2021-10-25,3.582053
2021-10-26,3.585207
2021-10-27,3.58581
2021-10-28,3.573876
2021-10-29,3.587427
2021-10-30,3.587278
2021-10-31,3.587289
2021-11-01,3.591315
