date,rate
2021-10-01,0.636311
2021-10-02,0.635093
2021-10-03,0.635244
2021-10-04,0.634016
2021-10-05,0.634982
2021-10-06,0.636836
2021-10-07,0.637027
2021-10-08,0.637898
2021-10-09,0.637439
2021-10-10,0.637682
2021-10-11,0.638379
2021-10-12,0.638884
2021-10-13,0.639004
2021-10-14,0.639691
2021-10-15,0.63958
2021-10-16,0.639383
2021-10-17,0.639265
2021-10-18,0.638549
2021-10-19,0.639221
2021-10-20,0.639291
2021-10-21,0.638029
2021-10-22,0.637052
2021-10-23,0.637011
2021-10-24,0.636877
2021-10-25,0.639368
2021-10-26,0.64008
2021-10-27,0.639423
2021-10-28,0.636838
2021-10-29,0.641746
2021-10-30,0.641247
2021-10-31,0.641106
2021-11-01,0.640946
