date,rate
2021-10-01,4.066028
2021-10-02,4.06939
2021-10-03,4.070433
2021-10-04,4.014623
2021-10-05,3.99491
2021-10-06,3.990194
2021-10-07,3.996385
2021-10-08,3.985641
2021-10-09,3.990293
2021-10-10,3.989604
2021-10-11,3.976903
2021-10-12,3.978347
2021-10-13,3.950331
2021-10-14,3.978373
2021-10-15,4.017086
2021-10-16,4.006594
2021-10-17,4.007159
2021-10-18,3.974087
2021-10-19,3.948517
2021-10-20,3.951653
2021-10-21,3.900026
2021-10-22,3.855472
2021-10-23,3.901897
2021-10-24,3.902199
2021-10-25,3.957525
2021-10-26,3.970601
2021-10-27,3.968262
2021-10-28,3.923691
2021-10-29,3.947913
2021-10-30,3.935219
2021-10-31,3.936174
2021-11-01,3.937883
