date,rate
2021-10-01,1.194578
2021-10-02,1.195406
2021-10-03,1.195809
2021-10-04,1.177753
2021-10-05,1.172465
2021-10-06,1.168179
2021-10-07,1.168879
2021-10-08,1.165788
2021-10-09,1.167093
2021-10-10,1.167006
2021-10-11,1.16578
2021-10-12,1.165259
2021-10-13,1.158147
2021-10-14,1.166026
2021-10-15,1.178138
2021-10-16,1.174544
2021-10-17,1.174576
2021-10-18,1.160354
2021-10-19,1.15188
2021-10-20,1.151274
2021-10-21,1.132023
2021-10-22,1.117369
2021-10-23,1.130329
2021-10-24,1.130615
2021-10-25,1.144115
2021-10-26,1.149404
2021-10-27,1.148378
2021-10-28,1.134051
2021-10-29,1.144546
2021-10-30,1.141351
2021-10-31,1.141496
2021-11-01,1.141901
