date,rate
2021-10-01,0.137297
2021-10-02,0.137577
2021-10-03,0.137626
2021-10-04,0.135259
2021-10-05,0.134181
2021-10-06,0.13362
2021-10-07,0.133233
2021-10-08,0.133013
2021-10-09,0.133302
2021-10-10,0.133323
2021-10-11,0.13308
2021-10-12,0.132856
2021-10-13,0.131998
2021-10-14,0.132734
2021-10-15,0.133442
2021-10-16,0.133473
2021-10-17,0.133366
2021-10-18,0.131897
2021-10-19,0.130432
2021-10-20,0.130344
2021-10-21,0.12825
2021-10-22,0.127066
2021-10-23,0.128625
2021-10-24,0.128625
2021-10-25,0.129653
2021-10-26,0.13006
2021-10-27,0.13036
2021-10-28,0.129044
2021-10-29,0.129795
2021-10-30,0.129532
2021-10-31,0.12958
2021-11-01,0.129877
