date,rate
2021-10-01,0.778781
2021-10-02,0.779507
2021-10-03,0.779326
2021-10-04,0.768025
2021-10-05,0.764694
2021-10-06,0.758367
2021-10-07,0.759925
2021-10-08,0.757493
2021-10-09,0.758275
2021-10-10,0.75837
2021-10-11,0.756109
2021-10-12,0.752952
2021-10-13,0.749153
2021-10-14,0.754772
2021-10-15,0.763256
2021-10-16,0.760821
2021-10-17,0.761296
2021-10-18,0.755238
2021-10-19,0.751251
2021-10-20,0.749879
2021-10-21,0.736421
2021-10-22,0.725155
2021-10-23,0.734481
2021-10-24,0.734554
2021-10-25,0.741427
2021-10-26,0.742676
2021-10-27,0.74374
2021-10-28,0.739339
2021-10-29,0.736134
2021-10-30,0.734536
2021-10-31,0.734626
2021-11-01,0.735879
