date,rate
2021-10-01,0.794416
2021-10-02,0.794849
2021-10-03,0.794829
2021-10-04,0.783703
2021-10-05,0.779499
2021-10-06,0.776699
2021-10-07,0.777218
2021-10-08,0.775195
2021-10-09,0.776352
2021-10-10,0.776429
2021-10-11,0.775464
2021-10-12,0.775289
2021-10-13,0.770373
2021-10-14,0.775682
2021-10-15,0.783488
2021-10-16,0.78122
2021-10-17,0.781185
2021-10-18,0.771707
2021-10-19,0.766117
2021-10-20,0.765274
2021-10-21,0.752681
2021-10-22,0.742935
2021-10-23,0.752079
2021-10-24,0.751765
2021-10-25,0.760996
2021-10-26,0.764436
2021-10-27,0.763902
2021-10-28,0.754507
2021-10-29,0.761452
2021-10-30,0.759262
2021-10-31,0.759338
2021-11-01,0.759838
