date,rate
2021-10-01,78556970186.55974
2021-10-02,78261269043.77362
2021-10-03,79841549877.0372
2021-10-04,76914434766.00041
2021-10-05,76331101861.71957
2021-10-06,76254.689975
2021-10-07,76022.12871
2021-10-08,75762.553346
2021-10-09,76950.438344
2021-10-10,77283.331643
2021-10-11,75319.549962
2021-10-12,75207.595466
2021-10-13,74886.687626
2021-10-14,75865.919676
2021-10-15,76793.496289
2021-10-16,77270.249331
2021-10-17,77938.734791
2021-10-18,75029.680035
2021-10-19,74657.942116
2021-10-20,75100.230215
2021-10-21,73844.44199
2021-10-22,73223.963413
2021-10-23,75687.514941
2021-10-24,76025.171799
2021-10-25,75568.65227
2021-10-26,76753.061509
2021-10-27,77007.772603
2021-10-28,77302.83222
2021-10-29,77849.79407
2021-10-30,79357.296054
2021-10-31,79582.958608
2021-11-01,77078.262989
