date,rate
2021-10-01,0.03325
2021-10-02,0.033251
2021-10-03,0.033251
2021-10-04,0.033349
2021-10-05,0.0333
2021-10-06,0.033204
2021-10-07,0.033314
2021-10-08,0.03331
2021-10-09,0.033374
2021-10-10,0.033374
2021-10-11,0.033306
2021-10-12,0.033289
2021-10-13,0.033336
2021-10-14,0.033432
2021-10-15,0.03341
2021-10-16,0.03341
2021-10-17,0.03341
2021-10-18,0.033463
2021-10-19,0.033531
2021-10-20,0.03359
2021-10-21,0.033712
2021-10-22,0.033708
2021-10-23,0.033719
2021-10-24,0.033719
2021-10-25,0.033646
2021-10-26,0.033531
2021-10-27,0.033487
2021-10-28,0.033202
2021-10-29,0.03335
2021-10-30,0.033347
2021-10-31,0.033347
2021-11-01,0.033351
