date,rate
2021-10-01,3.775652
2021-10-02,3.772858
2021-10-03,3.806915
2021-10-04,3.776561
2021-10-05,3.784188
2021-10-06,3.760845
2021-10-07,3.805475
2021-10-08,3.784923
2021-10-09,3.826069
2021-10-10,3.818043
2021-10-11,3.787062
2021-10-12,3.770795
2021-10-13,3.800766
2021-10-14,3.811706
2021-10-15,3.83311
2021-10-16,3.832899
2021-10-17,3.854889
2021-10-18,3.815226
2021-10-19,3.822631
2021-10-20,3.81235
2021-10-21,3.818392
2021-10-22,3.83114
2021-10-23,3.859918
2021-10-24,3.863984
2021-10-25,3.842079
2021-10-26,3.832934
2021-10-27,3.8774
2021-10-28,3.809255
2021-10-29,3.826878
2021-10-30,3.84857
2021-10-31,3.849057
2021-11-01,3.816395
