date,rate
2021-10-01,1.812343
2021-10-02,1.808521
2021-10-03,1.808023
2021-10-04,1.822373
2021-10-05,1.821577
2021-10-06,1.824134
2021-10-07,1.824214
2021-10-08,1.837697
2021-10-09,1.838391
2021-10-10,1.837918
2021-10-11,1.840889
2021-10-12,1.839383
2021-10-13,1.830895
2021-10-14,1.83128
2021-10-15,1.817666
2021-10-16,1.807251
2021-10-17,1.807745
2021-10-18,1.809534
2021-10-19,1.807626
2021-10-20,1.801922
2021-10-21,1.817639
2021-10-22,1.811652
2021-10-23,1.80986
2021-10-24,1.809989
2021-10-25,1.808579
2021-10-26,1.802522
2021-10-27,1.8007
2021-10-28,1.795551
2021-10-29,1.822368
2021-10-30,1.823118
2021-10-31,1.823014
2021-11-01,1.832572
