date,rate
2021-10-01,0.349021
2021-10-02,0.349332
2021-10-03,0.349031
2021-10-04,0.350816
2021-10-05,0.352188
2021-10-06,0.348211
2021-10-07,0.350885
2021-10-08,0.353021
2021-10-09,0.352952
2021-10-10,0.352851
2021-10-11,0.350884
2021-10-12,0.35126
2021-10-13,0.350892
2021-10-14,0.350368
2021-10-15,0.349793
2021-10-16,0.350029
2021-10-17,0.349931
2021-10-18,0.351871
2021-10-19,0.351623
2021-10-20,0.351875
2021-10-21,0.354529
2021-10-22,0.354931
2021-10-23,0.354452
2021-10-24,0.354484
2021-10-25,0.355691
2021-10-26,0.354282
2021-10-27,0.354741
2021-10-28,0.349433
2021-10-29,0.354202
2021-10-30,0.35358
2021-10-31,0.353616
2021-11-01,0.354317
