date,rate
2021-10-01,0.582107
2021-10-02,0.583558
2021-10-03,0.583429
2021-10-04,0.58458
2021-10-05,0.583628
2021-10-06,0.584402
2021-10-07,0.584661
2021-10-08,0.588019
2021-10-09,0.588984
2021-10-10,0.58904
2021-10-11,0.589204
2021-10-12,0.590867
2021-10-13,0.588747
2021-10-14,0.591009
2021-10-15,0.586808
2021-10-16,0.58891
2021-10-17,0.588834
2021-10-18,0.589303
2021-10-19,0.586321
2021-10-20,0.586975
2021-10-21,0.586635
2021-10-22,0.587417
2021-10-23,0.588004
2021-10-24,0.587865
2021-10-25,0.586679
2021-10-26,0.586223
2021-10-27,0.590002
2021-10-28,0.586459
2021-10-29,0.589149
2021-10-30,0.589445
2021-10-31,0.589695
2021-11-01,0.590867
