date,rate
2021-10-01,3.301857
2021-10-02,3.306417
2021-10-03,3.303747
2021-10-04,3.319344
2021-10-05,3.32609
2021-10-06,3.316794
2021-10-07,3.334738
2021-10-08,3.348693
2021-10-09,3.350381
2021-10-10,3.350581
2021-10-11,3.347635
2021-10-12,3.348699
2021-10-13,3.341421
2021-10-14,3.360683
2021-10-15,3.356396
2021-10-16,3.356896
2021-10-17,3.361249
2021-10-18,3.37432
2021-10-19,3.377046
2021-10-20,3.376918
2021-10-21,3.368503
2021-10-22,3.352332
2021-10-23,3.357663
2021-10-24,3.357201
2021-10-25,3.354937
2021-10-26,3.347469
2021-10-27,3.366133
2021-10-28,3.360026
2021-10-29,3.341363
2021-10-30,3.342571
2021-10-31,3.343153
2021-11-01,3.347845
