date,rate
2021-10-01,106.220331
2021-10-02,106.072117
2021-10-03,105.941177
2021-10-04,106.919061
2021-10-05,106.665342
2021-10-06,106.568061
2021-10-07,106.628792
2021-10-08,106.6021
2021-10-09,106.669958
2021-10-10,106.503974
2021-10-11,106.656607
2021-10-12,106.517618
2021-10-13,107.053805
2021-10-14,107.395654
2021-10-15,107.3205
2021-10-16,107.349707
2021-10-17,107.373806
2021-10-18,107.526246
2021-10-19,107.599737
2021-10-20,108.00611
2021-10-21,108.310655
2021-10-22,108.460057
2021-10-23,108.527561
2021-10-24,108.536812
2021-10-25,108.246006
2021-10-26,108.112957
2021-10-27,108.491933
2021-10-28,109.2751
2021-10-29,108.812309
2021-10-30,108.880197
2021-10-31,108.911296
2021-11-01,108.764291
