date,rate
2021-10-01,0.927313
2021-10-02,0.926681
2021-10-03,0.92686
2021-10-04,0.930258
2021-10-05,0.929029
2021-10-06,0.933312
2021-10-07,0.932146
2021-10-08,0.931928
2021-10-09,0.931475
2021-10-10,0.931407
2021-10-11,0.932304
2021-10-12,0.931404
2021-10-13,0.933443
2021-10-14,0.934467
2021-10-15,0.933295
2021-10-16,0.93382
2021-10-17,0.933939
2021-10-18,0.933082
2021-10-19,0.93154
2021-10-20,0.933776
2021-10-21,0.93624
2021-10-22,0.937907
2021-10-23,0.937602
2021-10-24,0.937432
2021-10-25,0.936896
2021-10-26,0.937479
2021-10-27,0.938954
2021-10-28,0.938039
2021-10-29,0.944561
2021-10-30,0.944669
2021-10-31,0.94478
2021-11-01,0.944409
