date,rate
2021-10-01,4.902712
2021-10-02,4.900019
2021-10-03,4.891061
2021-10-04,4.929234
2021-10-05,4.907375
2021-10-06,4.902475
2021-10-07,4.910524
2021-10-08,4.913667
2021-10-09,4.906763
2021-10-10,4.90344
2021-10-11,4.916533
2021-10-12,4.900436
2021-10-13,4.927627
2021-10-14,4.938792
2021-10-15,4.930471
2021-10-16,4.929391
2021-10-17,4.928737
2021-10-18,4.938456
2021-10-19,4.940681
2021-10-20,4.952529
2021-10-21,4.948095
2021-10-22,4.953909
2021-10-23,4.954983
2021-10-24,4.954819
2021-10-25,4.938394
2021-10-26,4.93282
2021-10-27,4.953132
2021-10-28,4.976889
2021-10-29,4.962184
2021-10-30,4.962786
2021-10-31,4.963821
2021-11-01,5.006641
