date,rate
2021-10-01,7.301857
2021-10-02,7.29879
2021-10-03,7.263863
2021-10-04,7.331833
2021-10-05,7.313474
2021-10-06,7.299291
2021-10-07,7.307946
2021-10-08,7.324861
2021-10-09,7.327381
2021-10-10,7.323885
2021-10-11,7.333681
2021-10-12,7.306559
2021-10-13,7.335904
2021-10-14,7.35551
2021-10-15,7.350915
2021-10-16,7.357271
2021-10-17,7.358849
2021-10-18,7.358215
2021-10-19,7.359093
2021-10-20,7.377435
2021-10-21,7.398797
2021-10-22,7.408974
2021-10-23,7.403784
2021-10-24,7.401819
2021-10-25,7.387269
2021-10-26,7.372374
2021-10-27,7.355457
2021-10-28,7.426177
2021-10-29,7.376022
2021-10-30,7.364211
2021-10-31,7.366236
2021-11-01,7.385602
