date,rate
2021-10-01,4.708876
2021-10-02,4.719901
2021-10-03,4.718328
2021-10-04,4.691404
2021-10-05,4.671772
2021-10-06,4.633258
2021-10-07,4.635203
2021-10-08,4.57161
2021-10-09,4.567871
2021-10-10,4.568054
2021-10-11,4.555051
2021-10-12,4.536019
2021-10-13,4.556068
2021-10-14,4.593986
2021-10-15,4.57569
2021-10-16,4.567506
2021-10-17,4.568406
2021-10-18,4.598066
2021-10-19,4.637432
2021-10-20,4.651729
2021-10-21,4.633328
2021-10-22,4.647496
2021-10-23,4.619559
2021-10-24,4.618942
2021-10-25,4.666998
2021-10-26,4.681091
2021-10-27,4.66698
2021-10-28,4.679924
2021-10-29,4.661979
2021-10-30,4.620267
2021-10-31,4.619787
2021-11-01,4.626827
