date,rate
2021-10-01,0.027179
2021-10-02,0.027196
2021-10-03,0.027184
2021-10-04,0.027047
2021-10-05,0.026844
2021-10-06,0.026986
2021-10-07,0.027073
2021-10-08,0.026692
2021-10-09,0.026667
2021-10-10,0.026662
2021-10-11,0.026602
2021-10-12,0.026683
2021-10-13,0.026862
2021-10-14,0.026808
2021-10-15,0.026585
2021-10-16,0.026565
2021-10-17,0.026569
2021-10-18,0.026801
2021-10-19,0.026999
2021-10-20,0.027053
2021-10-21,0.026951
2021-10-22,0.027103
2021-10-23,0.027027
2021-10-24,0.027031
2021-10-25,0.027429
2021-10-26,0.027497
2021-10-27,0.027503
2021-10-28,0.027375
2021-10-29,0.027382
2021-10-30,0.02727
2021-10-31,0.027273
2021-11-01,0.027293
