date,rate
2021-10-01,0.007985
2021-10-02,0.007989
2021-10-03,0.007986
2021-10-04,0.007935
2021-10-05,0.007879
2021-10-06,0.007901
2021-10-07,0.007918
2021-10-08,0.007807
2021-10-09,0.0078
2021-10-10,0.007799
2021-10-11,0.007798
2021-10-12,0.007815
2021-10-13,0.007875
2021-10-14,0.007857
2021-10-15,0.007797
2021-10-16,0.007787
2021-10-17,0.007788
2021-10-18,0.007825
2021-10-19,0.007876
2021-10-20,0.007882
2021-10-21,0.007823
2021-10-22,0.007855
2021-10-23,0.007829
2021-10-24,0.007832
2021-10-25,0.00793
2021-10-26,0.00796
2021-10-27,0.007959
2021-10-28,0.007912
2021-10-29,0.007938
2021-10-30,0.007909
2021-10-31,0.007909
2021-11-01,0.007914
