date,rate
2021-10-01,0.005677
2021-10-02,0.005679
2021-10-03,0.005667
2021-10-04,0.005653
2021-10-05,0.005595
2021-10-06,0.005578
2021-10-07,0.005606
2021-10-08,0.005532
2021-10-09,0.00552
2021-10-10,0.00552
2021-10-11,0.005527
2021-10-12,0.005526
2021-10-13,0.005587
2021-10-14,0.005581
2021-10-15,0.005536
2021-10-16,0.005525
2021-10-17,0.005522
2021-10-18,0.005566
2021-10-19,0.005614
2021-10-20,0.005618
2021-10-21,0.005557
2021-10-22,0.005576
2021-10-23,0.005563
2021-10-24,0.005564
2021-10-25,0.005618
2021-10-26,0.00563
2021-10-27,0.005644
2021-10-28,0.005643
2021-10-29,0.005605
2021-10-30,0.005585
2021-10-31,0.005584
2021-11-01,0.00564
