date,rate
2021-10-01,0.001794
2021-10-02,0.001794
2021-10-03,0.001793
2021-10-04,0.001781
2021-10-05,0.001765
2021-10-06,0.001774
2021-10-07,0.001773
2021-10-08,0.001752
2021-10-09,0.00175
2021-10-10,0.00175
2021-10-11,0.001743
2021-10-12,0.001746
2021-10-13,0.001761
2021-10-14,0.001742
2021-10-15,0.001718
2021-10-16,0.001717
2021-10-17,0.001718
2021-10-18,0.001725
2021-10-19,0.001719
2021-10-20,0.001713
2021-10-21,0.001707
2021-10-22,0.00172
2021-10-23,0.001713
2021-10-24,0.001714
2021-10-25,0.001727
2021-10-26,0.001733
2021-10-27,0.00173
2021-10-28,0.001724
2021-10-29,0.001721
2021-10-30,0.001715
2021-10-31,0.001714
2021-11-01,0.001714
