date,rate
2021-10-01,0.008455
2021-10-02,0.008459
2021-10-03,0.008417
2021-10-04,0.008408
2021-10-05,0.008339
2021-10-06,0.008305
2021-10-07,0.008343
2021-10-08,0.008247
2021-10-09,0.008242
2021-10-10,0.008244
2021-10-11,0.008244
2021-10-12,0.008239
2021-10-13,0.008318
2021-10-14,0.008312
2021-10-15,0.008253
2021-10-16,0.008246
2021-10-17,0.008245
2021-10-18,0.008294
2021-10-19,0.008362
2021-10-20,0.008369
2021-10-21,0.008309
2021-10-22,0.00834
2021-10-23,0.008313
2021-10-24,0.008312
2021-10-25,0.008405
2021-10-26,0.008415
2021-10-27,0.008381
2021-10-28,0.008421
2021-10-29,0.008332
2021-10-30,0.008287
2021-10-31,0.008287
2021-11-01,0.00832
