date,rate
2021-10-01,0.832628
2021-10-02,0.832404
2021-10-03,0.832229
2021-10-04,0.84289
2021-10-05,0.847557
2021-10-06,0.855213
2021-10-07,0.853418
2021-10-08,0.855969
2021-10-09,0.85519
2021-10-10,0.854995
2021-10-11,0.854928
2021-10-12,0.858065
2021-10-13,0.863888
2021-10-14,0.854821
2021-10-15,0.846594
2021-10-16,0.848612
2021-10-17,0.848797
2021-10-18,0.859204
2021-10-19,0.869969
2021-10-20,0.868165
2021-10-21,0.883011
2021-10-22,0.896421
2021-10-23,0.885212
2021-10-24,0.885108
2021-10-25,0.876833
2021-10-26,0.874826
2021-10-27,0.873777
2021-10-28,0.878302
2021-10-29,0.878565
2021-10-30,0.880496
2021-10-31,0.881246
2021-11-01,0.880651
