date,rate
2021-10-01,1.753887
2021-10-02,1.754124
2021-10-03,1.754351
2021-10-04,1.748811
2021-10-05,1.751351
2021-10-06,1.75535
2021-10-07,1.74948
2021-10-08,1.751679
2021-10-09,1.7484
2021-10-10,1.748293
2021-10-11,1.749954
2021-10-12,1.751451
2021-10-13,1.754801
2021-10-14,1.746399
2021-10-15,1.749016
2021-10-16,1.74867
2021-10-17,1.748987
2021-10-18,1.74769
2021-10-19,1.756668
2021-10-20,1.750807
2021-10-21,1.744385
2021-10-22,1.747159
2021-10-23,1.746612
2021-10-24,1.746613
2021-10-25,1.750027
2021-10-26,1.756647
2021-10-27,1.756736
2021-10-28,1.772019
2021-10-29,1.760374
2021-10-30,1.760962
2021-10-31,1.762683
2021-11-01,1.760923
