date,rate
2021-10-01,0.994639
2021-10-02,0.995061
2021-10-03,0.995187
2021-10-04,0.992717
2021-10-05,0.993732
2021-10-06,0.999042
2021-10-07,0.997542
2021-10-08,0.997879
2021-10-09,0.998087
2021-10-10,0.997784
2021-10-11,0.996657
2021-10-12,0.999869
2021-10-13,1.00051
2021-10-14,0.996744
2021-10-15,0.997405
2021-10-16,0.996732
2021-10-17,0.996976
2021-10-18,0.996981
2021-10-19,1.0021
2021-10-20,0.999495
2021-10-21,0.999588
2021-10-22,1.001634
2021-10-23,1.000581
2021-10-24,1.000716
2021-10-25,1.003198
2021-10-26,1.005528
2021-10-27,1.003427
2021-10-28,0.996039
2021-10-29,1.005558
2021-10-30,1.004956
2021-10-31,1.005938
2021-11-01,1.005616
