date,rate
2021-10-01,1.053127
2021-10-02,1.053574
2021-10-03,1.048883
2021-10-04,1.051948
2021-10-05,1.051753
2021-10-06,1.050196
2021-10-07,1.05106
2021-10-08,1.054019
2021-10-09,1.054752
2021-10-10,1.054718
2021-10-11,1.053658
2021-10-12,1.054105
2021-10-13,1.056741
2021-10-14,1.054418
2021-10-15,1.055771
2021-10-16,1.055393
2021-10-17,1.055501
2021-10-18,1.056674
2021-10-19,1.063943
2021-10-20,1.061307
2021-10-21,1.061659
2021-10-22,1.06347
2021-10-23,1.062342
2021-10-24,1.062055
2021-10-25,1.063299
2021-10-26,1.062978
2021-10-27,1.056628
2021-10-28,1.060081
2021-10-29,1.055463
2021-10-30,1.053032
2021-10-31,1.053998
2021-11-01,1.057181
