date,rate
2021-10-01,0.026119
2021-10-02,0.026045
2021-10-03,0.026017
2021-10-04,0.026136
2021-10-05,0.026032
2021-10-06,0.02617
2021-10-07,0.026263
2021-10-08,0.026253
2021-10-09,0.026269
2021-10-10,0.026244
2021-10-11,0.026322
2021-10-12,0.026481
2021-10-13,0.026642
2021-10-14,0.026417
2021-10-15,0.026333
2021-10-16,0.026341
2021-10-17,0.026334
2021-10-18,0.026359
2021-10-19,0.026365
2021-10-20,0.026339
2021-10-21,0.026251
2021-10-22,0.026269
2021-10-23,0.026377
2021-10-24,0.026387
2021-10-25,0.026388
2021-10-26,0.02636
2021-10-27,0.026488
2021-10-28,0.026477
2021-10-29,0.026366
2021-10-30,0.02652
2021-10-31,0.026522
2021-11-01,0.026482
