date,rate
2021-10-01,0.002059
2021-10-02,0.002054
2021-10-03,0.002054
2021-10-04,0.002058
2021-10-05,0.002049
2021-10-06,0.00206
2021-10-07,0.002066
2021-10-08,0.002067
2021-10-09,0.002067
2021-10-10,0.002067
2021-10-11,0.002071
2021-10-12,0.002079
2021-10-13,0.002091
2021-10-14,0.002072
2021-10-15,0.002065
2021-10-16,0.002067
2021-10-17,0.002067
2021-10-18,0.002065
2021-10-19,0.002065
2021-10-20,0.002061
2021-10-21,0.002054
2021-10-22,0.002054
2021-10-23,0.002063
2021-10-24,0.002063
2021-10-25,0.002062
2021-10-26,0.00206
2021-10-27,0.002068
2021-10-28,0.002066
2021-10-29,0.002057
2021-10-30,0.002069
2021-10-31,0.00207
2021-11-01,0.002067
