date,rate
2021-10-01,0.31229
2021-10-02,0.312039
2021-10-03,0.311552
2021-10-04,0.313085
2021-10-05,0.312149
2021-10-06,0.316119
2021-10-07,0.31581
2021-10-08,0.317697
2021-10-09,0.317539
2021-10-10,0.317809
2021-10-11,0.31831
2021-10-12,0.319913
2021-10-13,0.319177
2021-10-14,0.315568
2021-10-15,0.313963
2021-10-16,0.314932
2021-10-17,0.314196
2021-10-18,0.314598
2021-10-19,0.312121
2021-10-20,0.311633
2021-10-21,0.310985
2021-10-22,0.311248
2021-10-23,0.312534
2021-10-24,0.312607
2021-10-25,0.309732
2021-10-26,0.309385
2021-10-27,0.311507
2021-10-28,0.309997
2021-10-29,0.310717
2021-10-30,0.312593
2021-10-31,0.312588
2021-11-01,0.3129
