date,rate
2021-10-01,0.031532
2021-10-02,0.031451
2021-10-03,0.031453
2021-10-04,0.031647
2021-10-05,0.031537
2021-10-06,0.031834
2021-10-07,0.031938
2021-10-08,0.032061
2021-10-09,0.032095
2021-10-10,0.032083
2021-10-11,0.03229
2021-10-12,0.032412
2021-10-13,0.032544
2021-10-14,0.032153
2021-10-15,0.031998
2021-10-16,0.032073
2021-10-17,0.032054
2021-10-18,0.032145
2021-10-19,0.032053
2021-10-20,0.031894
2021-10-21,0.031759
2021-10-22,0.031843
2021-10-23,0.031994
2021-10-24,0.031998
2021-10-25,0.031997
2021-10-26,0.031916
2021-10-27,0.032068
2021-10-28,0.031929
2021-10-29,0.031876
2021-10-30,0.032046
2021-10-31,0.032046
2021-11-01,0.032027
