date,rate
2021-10-01,0.045143
2021-10-02,0.045065
2021-10-03,0.044958
2021-10-04,0.045188
2021-10-05,0.044929
2021-10-06,0.045187
2021-10-07,0.045348
2021-10-08,0.045319
2021-10-09,0.045375
2021-10-10,0.045274
2021-10-11,0.045549
2021-10-12,0.045567
2021-10-13,0.045996
2021-10-14,0.045627
2021-10-15,0.045451
2021-10-16,0.045479
2021-10-17,0.045466
2021-10-18,0.045801
2021-10-19,0.045833
2021-10-20,0.045986
2021-10-21,0.045858
2021-10-22,0.046107
2021-10-23,0.046277
2021-10-24,0.046297
2021-10-25,0.046302
2021-10-26,0.046352
2021-10-27,0.046106
2021-10-28,0.045711
2021-10-29,0.045265
2021-10-30,0.045672
2021-10-31,0.045675
2021-11-01,0.045525
