date,rate
2021-10-01,0.003933
2021-10-02,0.003926
2021-10-03,0.003925
2021-10-04,0.003969
2021-10-05,0.003943
2021-10-06,0.003989
2021-10-07,0.003946
2021-10-08,0.003969
2021-10-09,0.003968
2021-10-10,0.003965
2021-10-11,0.003983
2021-10-12,0.003997
2021-10-13,0.003982
2021-10-14,0.003941
2021-10-15,0.003889
2021-10-16,0.00388
2021-10-17,0.003879
2021-10-18,0.003895
2021-10-19,0.003855
2021-10-20,0.003828
2021-10-21,0.003853
2021-10-22,0.003913
2021-10-23,0.003933
2021-10-24,0.003934
2021-10-25,0.003901
2021-10-26,0.003937
2021-10-27,0.003999
2021-10-28,0.004014
2021-10-29,0.004032
2021-10-30,0.004053
2021-10-31,0.004053
2021-11-01,0.004062
