date,rate
2021-10-01,0.295378
2021-10-02,0.295214
2021-10-03,0.2952
2021-10-04,0.295518
2021-10-05,0.295341
2021-10-06,0.293043
2021-10-07,0.293205
2021-10-08,0.293119
2021-10-09,0.293044
2021-10-10,0.293161
2021-10-11,0.294121
2021-10-12,0.292939
2021-10-13,0.293028
2021-10-14,0.294049
2021-10-15,0.294045
2021-10-16,0.294114
2021-10-17,0.294008
2021-10-18,0.292864
2021-10-19,0.291113
2021-10-20,0.291487
2021-10-21,0.29038
2021-10-22,0.289341
2021-10-23,0.289519
2021-10-24,0.289531
2021-10-25,0.288177
2021-10-26,0.287887
2021-10-27,0.288402
2021-10-28,0.290176
2021-10-29,0.288309
2021-10-30,0.288605
2021-10-31,0.288289
2021-11-01,0.288359
