date,rate
2021-10-01,0.293795
2021-10-02,0.293756
2021-10-03,0.293779
2021-10-04,0.293366
2021-10-05,0.29349
2021-10-06,0.292762
2021-10-07,0.292484
2021-10-08,0.292497
2021-10-09,0.292483
2021-10-10,0.292512
2021-10-11,0.293138
2021-10-12,0.2929
2021-10-13,0.293177
2021-10-14,0.293091
2021-10-15,0.293282
2021-10-16,0.293153
2021-10-17,0.293119
2021-10-18,0.29198
2021-10-19,0.291725
2021-10-20,0.29134
2021-10-21,0.29026
2021-10-22,0.289814
2021-10-23,0.289687
2021-10-24,0.289738
2021-10-25,0.289099
2021-10-26,0.289479
2021-10-27,0.289391
2021-10-28,0.289027
2021-10-29,0.289912
2021-10-30,0.290035
2021-10-31,0.290001
2021-11-01,0.289978
